POSTAL_CODE,CODE,YEAR,CITY,TITLE
DE-NI,XEMZ,2020-23,BRAUNSCHWEIG,ERSTE GESAMTDEUTSCHE FUSSBALLMANNSCHAFT
DE-NI,XEMZ,2020-24,BRAUNSCHWEIG,DIE ERSTE GESAMTDEUTSCHE OLYMPIAMANNSCHAFT
DE-NI,XEMZ,2020-31,BRAUNSCHWEIG,JOHN F.KENNEDY IN BERLIN 1963
DE-NI,XEMZ,2020-32,BRAUNSCHWEIG,DIE MONTAGSDEMONSTRATIONEN
DE-NI,XEMZ,2020-35,BRAUNSCHWEIG,REDE AM BRANDENBURGERTOR - 12. JUNI 1987TEAR DOWN THIS WALL
DE-NI,XEMZ,2020-36,BRAUNSCHWEIG,SCHABOWSKIS ZETTEL
DE-NI,XEMZ,2020-37,BRAUNSCHWEIG,WIR SIND DAS VOLK
DE-NI,XEMZ,2020-4,BRAUNSCHWEIG,DIE GRENZÖFFNUNG IN UNGARN 1989
DE-NI,XEMZ,2020-41,BRAUNSCHWEIG,TAG DER DEUTSCHEN EINHEIT
DE-NI,XEMZ,2020-5,BRAUNSCHWEIG,DER BAU DER MAUER
DE-NI,XEMZ,2020-53,BRAUNSCHWEIG,DIE MAUERSPECHTE
DE-NI,XEMZ,2020-58,BRAUNSCHWEIG,DIE FRIEDENSTAUBE
DE-NI,XEMZ,2020-6,BRAUNSCHWEIG,DAS BEGRÜSSUNGSGELD
DE-NI,XEMZ,2020-60,BRAUNSCHWEIG,VÄTER DER EINHEITGEORGE BUSH
DE-NI,XEMZ,2020-61,BRAUNSCHWEIG,VÄTER DER EINHEITHELMUT KOHL
DE-NI,XEMZ,2020-62,BRAUNSCHWEIG,VÄTER DER EINHEITMICHAIL S. GORBATSCHOW
DE-NI,XEMZ,2020-7,BRAUNSCHWEIG,DIE FREIHEITSGLOCKE IN BERLIN
DE-NI,XEMZ,2020-9,BRAUNSCHWEIG,KOSMONAUT SIGMUND JÄHN
DE-NI,XEMZ,2021-25,BRAUNSCHWEIG,DIE ERSTE GESAMTDEUTSCHE BUNDESTAGSWAHL
DE-NI,XEMZ,2021-26,BRAUNSCHWEIG,FLUCHT IN DEN WESTEN
DE-NI,XEMZ,2021-28,BRAUNSCHWEIG,DIE KAISER-WILHELM-GEDÄCHTNIS-KIRCHEIN BERLIN
DE-NI,XEMZ,2021-29,BRAUNSCHWEIG,GLASNOST UND PERESTROIKA
DE-NI,XEMZ,2021-30,BRAUNSCHWEIG,DER GRENZÜBERGANG BORNHOLMER STRASSE
DE-NI,XEMZ,2021-33,BRAUNSCHWEIG,NEUES REISEGESETZREISEFREIHEIT FÜR DDR-BÜRGER
DE-NI,XEMZ,2021-34,BRAUNSCHWEIG,HILFSGEMEINSCHAFT ODERHOCHWASSER 1997
DE-NI,XEMZ,2021-38,BRAUNSCHWEIG,REICHSTAGSGEBÄUDE IM VEREINTEN DEUTSCHLAND
DE-NI,XEMZ,2021-39,BRAUNSCHWEIG,RUF AUS DRESDENWIEDERAUFBAU DER FRAUENKIRCHE
DE-NI,XEMZ,2021-40,BRAUNSCHWEIG,SELBSTBESTIMMUNGSRECHT DER DEUTSCHEN
DE-NI,XEMZ,2021-42,BRAUNSCHWEIG,DAS KAUKASUS - TREFFEN 1990
DE-NI,XEMZ,2021-44,BRAUNSCHWEIG,"WÄHRUNGS -, WIRTSCHAFTS - UND SOZIALUNION"
DE-NI,XEMZ,2021-45,BRAUNSCHWEIG,AUFBAU OST
DE-NI,XEMZ,2021-46,BRAUNSCHWEIG,DAS ZEHN-PUNKTE-PROGRAMM
DE-NI,XEMZ,2021-47,BRAUNSCHWEIG,ZENTRALER RUNDER TISCH
DE-NI,XEMZ,2021-48,BRAUNSCHWEIG,DER ZWEI-PLUS-VIER-VERTRAG
DE-NI,XEMZ,2021-49,BRAUNSCHWEIG,PAPST JOHANNES PAUL II.EMPFÄNGT GORBATSCHOW
DE-NI,XEMZ,2021-50,BRAUNSCHWEIG,LECH WALESA - TAKTGEBER IM REFORMPROZESS
DE-NI,XEMZ,2021-51,BRAUNSCHWEIG,FRIEDENSGEBETE IN DER NIKOLAIKIRCHE LEIPZIG
DE-NI,XEMZ,2021-52,BRAUNSCHWEIG,TAG DER REPUBLIK
DE-NI,XEMZ,2021-54,BRAUNSCHWEIG,DIE EINHEITSFEIER 1990
DE-NI,XEMZ,2021-55,BRAUNSCHWEIG,DER POTSDAMER PLATZ
DE-NI,XEMZ,2021-56,BRAUNSCHWEIG,JETZT WÄCHST ZUSAMMEN WAS ZUSAMMEN GEHÖRT
DE-NI,XEMZ,2021-57,BRAUNSCHWEIG,DIE BERLINER REDE
DE-NI,XEMZ,2021-59,BRAUNSCHWEIG,GENEX - GESCHENKE IN DIE DDR
DE-NI,XEMZ,2021-63,BRAUNSCHWEIG,SILVESTERFEIERN IN BERLIN
